ma_san_pham,noi_dung_binh_luan,label
253900006,cực_cực cực_kì hài_lòng tông không_gây khó_chịu làn nhạy_cảm,2
422202580,liên_tục vòng quan_sát kĩ cải_thiện rõ_rệt chân nám mờ dần đi texture lỏng nhẹ cực_kì nhẹ cực_kì thích packaging thông đầy_đủ tiết cộng trừ hị yêu thích_dưỡng thâm_nám nhẹ thường_xuyên,2
200400004,rất_thích_hasaki,2
422202580,đẹp tông lọ tông kèm,2
422204259,quà tặng kèm chưng,2
422209048,lọ_dưỡng ghê,2
100160022,nhiên vichy_dưỡng ẫm_serum bình_thường rất_dễ_tán rất_nhiều laroch cũ tông tầm nửa_tông căng,2
422208976,bộ_tế click gửi khảo hãng,2
249500027,truóc nồng_nặc,2
204900056,hợp mắc,2
422208976,dầu_rất dễ_mụn _cerave _item không_chăm _thấy đi_đâu bác_sĩ cũng_khuyên,2
249500019,tán nhẹ tự_nhiên rất_đáng,2
100230057,bàn thích dịch tỉnh,2
100230057,cực thích dịu nhẹ hợp nhẹ dày lì,2
343700002,cân_nhắc chăm_sóc thuốc đặc_trị lâu_thấm tối tóm_lại,1
422204259,quà tặng tưởng,2
422208974,cetaphil hợp_lý cetaphil tích tương_đương,2
205100136,sạch không_bị,2
204900004,dùng_thấy hợp_với mình_với tạo_bọt,2
204900004,cực_thích lâu_dài,2
245500009,trái_cây thơm nhẹ chết dịu nhẹ không_làm giá_cả,2
422206648,kích_ứng êm sạch,2
204100018,acne đóng_gói kỹ tiếc lỡ giải_quyết lỗ chân_lông,2
422212331,rất_thích rất_nên,2
422205163,rất_thoải mái,2
201600019,vichy thích mát cự_kỳ khô_thoáng nhẹ,2
422205164,mask cực_hợp tiếc_mask chờ_đợi mãi mask mask,2
200500293,môi_mình đã_giảm thâm_rất nhiều_sử dụng_sản phẩm_này mình_dùng cũng_năm _và,2
422216603,đi mãi hoài không_thôi,2
200400003,tặng tặng,2
318900002,vết thâm mờ thâm cũ mờ,1
422212097,siêu_cấp kích_ứng lập_tức không_hề lọ đẹp không_vân_không_dễ trôi đi mồ_hôi trôi sạch không_đổ ưng làn kỹ,2
422204910,nắp hồng dịu nhẹ lành_tính,2
422202629,viêm tiết_bã rosacea_xài hầu_như hỗn_hợp thiên_khô kích_ứng đỏ vết kết_hợp dưỡng nhẹ cerave bioderma cicabio kết_hợp dày hợp nằm tóm_lại hợp hỗn_hợp kết_hợp đi ngủ mua_dưỡng,2
204900013,tặng thời_hạn,2
205100146,sạch,2
422208975,mình_hỗn hợp_thiên dầu_dùng ẻm_không hề_bị khô_căng như_những khác_dạng suốt_mà bọt_lên cũng_khá đủ_để mặt_mình mụn_ẩn mà_trộm vía_dùng loại_này không_bị nói_giá hơi_nhưng đáng_mua,2
327500002,thâm_mờ đỡ viêm kiên_tgì,2
204900056,rất_sạch nhẹ bọt rất_mịn thơm cực thích,2
422206537,hương mát,2
100150059,mát dịu thích thích_hợp_viên,2
422207414,tinh_màu tím sửa hồng_nhạt dê nhẹ đổ,2
422205809,đắp mê,2
422200305,mát nhẹ tối chảo,1
422203301,sơ,2
100220037,dễ_chịu,2
100210020,lọ nhỏ_xíu đắt lọ thất_vọng,0
206400009,lọ mịn kiếm mãi hợp_mặt lọ,2
204100019,thành,2
204100078,treatment tretinoin rất_khô xịt khoáng dịu không_thôi mà_còn dịu vòi xịt sương rất_nhanh,2
100230059,rất_hiệu cực_kì giá_thành,2
223600032,lỏng đổ rahari hiệu,2
253900006,kháng bụi không_nặng không_lên trừ hương_liệu gắt_không_hợp,2
422217292,finish đẹp quên_dưỡng tróc_đồ nhẹ,2
422205160,cảnh,2
422204259,đỉnh,2
223600010,sữa nhẹ,2
204900159,sạch sâu khô_bênh cánh mũi nguyên căng,1
422202253,đắp đốt sưng sạch sợi bã,2
422211446,hậu_cảm không_nhờn rít dễ_tính không_khó mát rẻ hậu_cảm,2
318900012,dịu nhẹ không_mùi,2
308500013,mặt_nạ đắp hiệu_quả miếng đắp đắp trông,2
357100004,hỗn_hợp chữ má dịu nhẹ bình nhiên vòi bơm giăng,2
422200342,tiện_lợi ngứa mẫn đỏ retinol đỡ bé tư_vấn rất_tốt,2
100220035,bha châm chích rát rất_thích dậy rất_mướt mọng không_bị kiên_tgì sạch lỗ chân lông,2
331300002,dâu thích không_bị tiếp,2
226200018,không_khác,1
422211276,mịn,2
422209841,yên_tâm kiếm số_lượng đơn không_có_mác dấu_hiệu nhắn không,2
100180113,bác_sĩ thẩm_mĩ liễu_bôi dịu nhẹ rất_hiệu,2
205100146,không_đọc kỹ_phần chữ_nhỏ tảy_nhỏ chỉ_được tặng_ở _nói mua_hàng ở_hasaki cũng_lâu giá_cả hàng_chính hãng_cũng,2
249500028,tặng kèm,2
365000013,dùg miếng mask không_ôm kim_cương ngọc_dùg thích,2
422205164,rất_hợp,2
204100019,hương lành giá_thành rẻ,2
422211446,phẩm túi_tiền rất_hiệu,2
358300002,hồi_dùng thấy_bình thường_từ kết_hợp thêm_viên uống_với nước_thần của_hãng đi_đâu cũng_trắng nhìn_như mỹ_đen chân_ái,2
318900011,thích,2
331300002,chân_ái bọt sạch mà_còn kĩ cảm_nhận dược mỹ_phẩm đồng_tiền,2
422218629,rất_dịu nhẹ rất_phù_hợp nhạy_cảm không_bị khô_kích_ứng đổi hãng viêm đỏ,2
243300007,tệ_bụi gĩu,0
308500037,kém bền hỏng,0
204900013,xài_xài không_bị dầu_mặt mũi_cũng không_bị cách_bôi thì_mỗi lần_lấy chút_rồi tán_đều sẽ_đều và_không bị_vón,2
200400004,ap tặng không_thấy tặng,2
308100018,mask_xài thích_mát đầu_hơi châm_chích dịu_mấy nốt_mụn nhỏ_cũng nói_ưng lắm_cái này_bỏ tủ_lạnh xài_thích,2
226200017,hài_lòng,2
422211446,rất_nhưng nhẹ,2
200400004,đỉnh dịu nhẹ sạch bụi bẩn,2
422201504,sạch nhạy_cảm đỏ,2
204900056,dịu nhẹ bọt rất_không_hề,2
308500004,thơm nhẹ,2
223600035,rẻ,2
100230069,tôt,2
355500010,thấy_rát _cũng sạch_nhưng không_thích lắm_hơi rít_nhạy cảm_sẽ không_ưng,1
422205163,chân_ái đời viêm đỏ tối_đắp ngủ viêm,2
100230064,hàng_chính hãng_có đàng_hoàng luôn_mấy bạn_dầu hỗn_hợp xài_cũng nhạy_cảm xài_mới được_như hãng_nói,2
422208242,xài_thấy mặt_sáng hơn_cổ cả_tông í_thâm mụn_mới cũng_nhanh mờ_ê mê,2
422211446,nắp xám không_sạch nắp nhạt sạch nắp hồng không_cồn nắp nhạt không_tạo bọt trượt không_mượt bù sạch_sẽ cushion sương sương miếng không_lên mụn_ẩn công_dụng độ toàn chấm,2
343100028,nhảy_cảm mừng,2
422204906,kỹ bảng thành_phần không_ẻm ẻm dễ_chịu brand_pháp ẻm sạch oréal,2
310100003,dư_retinol tầm retinol zo không_hợp,2
422211548,mịn hũ đêm tán,2
422208807,hợp,2
100750038,toàn nhẹ_nhàng thường_ngày dễ_chịu,2
318900019,đặc không_nhờn rất_thích,2
365000014,mặt_nạ thải độc_không_mà đắp,2
100150058,tạm thích evene,2
422218631,không_thấy tặng,2
422217972,phục_hồi,2
422207413,hắc bết,0
204900013,cửa_hàng tặng kèm tuýp finish vón bện cũ thích_bản cũ không_nên dặm phấn_phủ mặt_mũi,2
223600040,không_hợp cộng mềm thơm,1
422203809,thích dày không_bị,2
100230069,mềm,2
204100003,cực_hợp,2
205100136,tầm mascara_lì mụn_xài,2
206200079,đẹp hình,2
422203301,giá_cả,2
245500001,mịn nồng,2
422211446,rẻ tặng,2
223600017,đổi hồng đi rất_mềm,2
253900007,khá_mà mịn_mùi cũng_hăng lắm_nhẹ nhẹ_vì lần_đầu mình_sài nên_lấy nhiều_và bọt_quá bọt_mình nghĩ_sẽ có_cồn và_rửa lại_bằng nước_sẽ rít_nhưng ngược_lại rửa_mới cảm_nhận được_đúng thiên_nhiên có_hoá,2
205100137,rất_nhẹ dịu độ không_bị căng_rít hãng,2
422203617,tuýp cảm_nhận rất_thích,2
422207148,mặt_nạ tinh tiếc_tinh tinh_dư đắp mặt_nạ trộm_vía đắp dịu dịu,2
200400003,chuẩn_quốc_dân,2
422205635,mặt_nạ some má lành dịu đỏ dưỡng không_bị nhễ_nhại,2
422212871,mặt_nạ đắp ôm khít không_châm,2
422205162,thích cực mát xẹp nốt sưng đêm hạn_chế tiết,2
211300005,nhạy_cảm không_bị,2
253900006,đọc_nhận xét_thấy nhiều_bạn chê_nhưng mình_thấy cũng_tuỳ người_hợp dầu_nhẹ nên_sài tệp_vào _thấm nhanh_hơi mùi_nhưng khoảng_tiếng tệp_vào hẳn_dùng mỗi_thôi mà_cũng mặc_dù mình_có thâm_và vài_chỗ mình_thấy này_dùng bị_mụn mà_còn,2
327500002,tuýp chậm thâm hầu_như cải_thiện,2
318900005,mùi_quá hắc_lên mát_mà mấy_má ơi_nó đều_màu phục_hồi bôi_thấm nhanh_nó áp_vào như_kiểu thấm_hết nhưng_sáng hôm_ngủ dậy_rửa mặt_vẫn thấy_nhờn nhờn_chứng tỏ_vẩn,2
204100013,sản_phẩn không_mùi hương_liệu đặc căng mướt,2
100150059,nhạy_cảm nặn xịt_khoáng mềm,2
248700076,dưỡng natrue tư_vấn,2
422207812,tế_bào chết rất_tốt thơm,2
249500013,không_bị kém,1
248700035,không_đổ dưỡng nhẹ,2
243300007,bịch_bịch tệ dập không_kỹ bét rụng bịch không_nữa buồn_buồn buồn,0
343100024,mẫn_cảm ưng_ý tặng kính,2
422206648,sạch sâu nhờn rít,2
422200306,rẻ bao_bọc,2
249500013,quà tặng kèm,2
345800008,gân uống thuốc,2
422216416,lảoch không_chê mụn_xài bít_tắc nhờn,2
422220469,thơm dậy không_bị nặn rát,2
422209663,hỗn_hợp thiên_dầu không_bết_rít nhanh_dưỡng mềm mịn tróc mũi mùa đông rất_hợp hơi_chát dưỡng_đỉnh hủ tuýt,2
422206043,trà tế_bào chết không_kích_ứng loại_bỏ đen_cực chê,2
249500013,mình_dễ mụn_mà cảnh_này cũng_nhiều nên_mình mùi_dễ chịu_nói _mình ngồi_văn phòng_nên dùng_ngày có_lần à_xài được_tháng rồi_mà còn_cũng gần_nữa _với lại_mình chỉ_dùng cổ_mình,2
422209094,cấp_và phục_hồi texture_đặc nhưng_thấm mịn_mình treatment_bị khô_đỏ _này đêm_đã ngủ_dậy mặt_vẫn ráo_không đổ_dầu mức_giá serum_của thì_khá nhưng_bù lại_lượng tốt_cũng ráng_đeo,2
308500037,đắp đọc hướng_dẫn đừng đắp,2
204900010,sạch bụi mịn không_bị căng dầu_thừa,2
211300002,mua_lâu mà_giờ mới_đánh giá_hàng của_hasaki thì_không có_gì về_sản phẩm_thì mình_đánh giá_thực tế_như với_mấy bạn_túi tiền_quá rủng_rỉnh nhưng_vẫn muốn_skincare siêu_dịu nhẹ_lành tính_nên mấy_bạn sợ_bị mấy_bạn mới_tập tành_skincare thì_cứ vô_tư _mình hỗn_hợp nhạy_cảm đang_độ tuổi_dậy thì_xài không_chê vào_đâu được_á vì_sản phẩm_quá chú_trọng đến_sự toàn_của ngdung_nên thành_hiệu quả_không _vì thế_mọi người_phải kiên_tgì _mình xài_đến gì_đấy mới_thấy hiệu_quả nhưng_với một_mức giá_bình dân_như thì_mình cũng_không muốn_gì có_xài được_bạn này_không mùi_nhưng ngửi_kỹ thì_cũng có_nhưng không_nồng đâu_mọi người_nhẹ texture_thì mình_thề xài_thích cực_kiểu nó_lỏng aply_lên thoáng_mặt nhận_xét tóm_lại bạn_này đúng_kiểu bổ_rẻ luôn_á lười_chụp,2
205100137,bàn_cãi rẻ,2
223600010,hù_hợp,2
100230064,thích dịu nhẹ,2
422205162,tạm hài_lòng,0
365000020,mặt_nạ rẻ đẹp bền dịch căng cực,2
248700062,khô_xài cực_kì thích đi làn giải_cứu á_thích_hợp,2
245500002,chết_này mình_thấy cũng_tạm _sẽ gét_rửa mặt_trông sáng_và căng_lúc,2
422218099,ưng mặt_nạ,2
422211878,mờ thâm_hơi lành_tính không_châm_chích vết rát vết_thương,2
200400004,không_gây kích_ứng,2
422211447,với_tầm giá_thì này_phải _dùng hồng_có cấp_dù khô_nhưng dầu_mụn như_mình xài_vẫn được_có hồng_nhiều nên_mịn hẳn_sạch nữa_mình dùng_rồi trị_mụn có_hiệu quả_hơn mấy_cái mụn_cũng lặn_đi chắc_sạch thông_thoáng nên_dễ thấm_nhưng mà_của dầu_nhiều dùng_loại đậm_nhé còn_mình giảm_dầu nhiều_rồi nên_dùng loại_hồng,2
204900056,dịu nhẹ,2
223600034,không_hợp ạ_hợp dùm,2
205100146,bọt,2
249500007,mắc,2
422205163,có_lẽ không_cần_cảnh mặt_nạ siêu_đình chê,2
217300001,rách_điểm dày chắc_chùi bịch sạch,1
371600006,chưa_thấy nhiều_cũng mới_xài được_tầm tuần_nhưng không_kích ứng_mừng rồi_xài hơi_rít nhẹ,2
100230069,mềm_mại breà skincare nhẹ_nhàng nhất_nhiên khăn,2
422208345,không_nhờn rít tán nhẹ chấm tán dần không_bị,2
422200002,nhạy_cảm chọn_lựa mặt_nạ thời mắn mặt_nạ phù_họp túi_tiền thích trộm_vía kích_ứng,2
422207562,không_như kỳ_vọng,0
206400011,thơm hương_dịu bắt sức,2
343100041,tuýp hỗn_hợp đổ_lượng chữ đen tư_vấn hãng cải_thiện hướng_dẫn rửa_mặt sợi bã không_bị căng rít,2
422209718,đắp mát dưỡng dễ_chịu đắp thoải_mái đêm láng,2
211300002,gút,2
422203809,thô dưỡng phê,0
422202153,làn,2
422211446,thích dễ_thương,2
248700027,bình_thường ghé để_dành độ tiện_dụng xịt lên_lớp bảo_vệ tối_ưu xịt tóc trẻ,2
422217292,chân áo,2
422200632,trộm_vía sài_hợp,2
248700034,nhạy_cảm_dầu dưỡng chấm không_hiêủ thời,1
100160022,cực thích,2
249500007,thích sữa kiểu không_bị vón_cục,2
422203645,hãng lắng cskhông gói cẩn_thận rất_chỉn rất_ưng_ý ủng_hộ,2
204100003,cũ hỗn_hợp thiên_dầu không_hề tí,1
207500001,rất_đáng,2
422205164,không_đặc biệt_nhưng cũng_không,1
365000017,chấp_nhận không_hài,0
327500002,lựa_chọn,0
422206513,không_tệ cân_nhắc kỹ,0
204900056,phục_hồi nghiện corticoid,2
422203301,bịch xơ rất_thích,2
249500013,nửa lọ lọ,2
204900013,vón không_tán,0
318900002,tạm ngấm,2
422204231,chuẩn,2
422210784,dịu,2
422201092,cấp_nước căng rát,2
422204795,dịu_nhẹ mùi_hương cũng_dễ,2
422203901,thô,2
318900012,lành đổ aply,2
100220010,sạch sâu_lỗ chân lông_rửa mặt_bằng bao sạch đen á_sản_phẩm,2
308900002,trị nhẹ không_bí đá tệp nhanh_chóng khuyến_khích chấm,2
248700035,naris đỉnh á_tone finish đẹp không_bị ẻm chứa giúp dưỡng nhẹ xịn xò,2
422209724,mặt_nạ khít thoải_mái đi đắp yếu_điểm rít_mặt,2
422215804,lỏng dễ_tán rất_mỏng mịn nhẹ tích chứa,2
100210014,mềm mịn,2
422206537,trộm_vía hợp dịu nhẹ không_hề,2
204100019,tỉnh sữa sạch không_bị căng rát,2
232500022,cải_thiện nhăn kiên_tgì,2
100210023,trước_dùng godndoc_thấy cũng_thẩm thấu_nhưng thì_không rõ_rệt mấy_có màng_âm _nhưng này_lên thì_mỏng nhẹ_thấm nhanh_phục hồi_rõ rệt_nên mua_nên mua_mình dầu_nhạy cảm_nhé yêu,2
422208157,hợp dị_ứng ngứa,1
222600006,tế_bào chết lành_tính dễ_chịu làn tế_bào chết hạt scrub bào_mòn đau rát không_dành nhạy_cảm trải bào chết hạt mẩn đỏ bể hạt scrub cà không_lấy đi nhân_mụn sưng viêm_mẫn đỏ bio esenchị vô_tình đi siêu_thị phát mượt không_đau_rát rất_thích,2
422217292,chậm,0
223600009,không_nhờn rít rất_về ủng_hộ hasakiâu,2
422211183,rát_mặt bổ rẻ đo,2
422206043,hạt cân_nhắc thơm đỉnh,2
422204259,không_mùi nhẹ dịu,2
422220606,thơm nhẹ kích_ứng không_nhưng,2
100150059,không_trả,0
318900011,sài_êm,1
223600010,tầm_set ráo_nguyên cần_dưỡng sạch rất_ưng,2
422206648,nước_dịu nhẹ_cũng tạm_nhưng mùi_mình không_thích,2
422204795,rất_tốt,2
422206648,dã ý_giá siêu_rẻ tiếp,2
422215804,chân_ái ưu_điểm sữa tông nhẹ hầu_như nhược_điểm kém_xíu kiểu môi nắng_nóng đổ mồ_hôi chảy nhẹ_góc trán mép mũi rất_hợp đổ mãi,2
245500001,hồng chết rất_tốt không_xài bha không_nên_xài ngứa,2
343700002,tầm thấm_nhiên dậy không_bị đổ hợp_dầu sâu không_gây tích tiếp,2
248100018,thích cực hãng thơm mát_dịu nhẹ,2
422208238,tư_vấn cải_thiện đốm nâu căng mát nhẹ,2
204900004,cực_kỳ ưng đặt_hàng,2
100750038,cực_kỳ dịu nhẹ dễ_chịu hợp tích mềm rất_hài,2
205100137,giá_thành sạch dễ_chịu,2
422206035,xài_cũng trộm_vía mình_có thấy_sáng nhiều_người nói_nó mình_dùng thấy_thấm lại_lớp cấp_ở mức_bình mình_phải bôi_lượng khá_nhiều mới_cảm thấy_yên tâm_đi ngủ_có lẽ_vậy nên_mình dùng_khá nhanh_gần tháng_đã thấy_gần dùng_thì giá_rẻ nhưng_tính cũng_không rẻ_vì dùng_khá nhanh_hết,2
422217029,không_bị rất_thoáng nhẹ aply không_hề bí,2
422216098,tạm,2
205100136,hằng,2
422211447,không_thấy,1
358300002,làn mịn màn rõ_rệt vết nám liti vết tàn_mờ tình cũn không_ưng yêu,2
308100018,kích_ứng đỏ sần tấy đỏ kim_chích đừng syêu nhạy_cảm,2
377400001,bọt dần đâm nghiện sạch cực_kì không_bị,2
100240016,đêm nốt đẩy_nhân dõi hiệu_quả,2
422205673,dưỡng thẩm_thấu cực,2
422205122,thích tư_vấn nhiệt_tình kĩ,2
422210784,hỗn_hợp rất_rất nhạy_cảm kích_ứng sữa mê mềm không_hề không_đỏ ửng,2
308500004,tạm không_như,0
327500002,mờ đi thơm_thích,2
205100146,sản phảm,2
365000012,không_như kém,0
422210047,đỉnh mụn_rửa vỗ cúc dịu mướt tối đều_đặn rõ_rệt mê,2
204100023,lỗ chân lông,2
345800003,hiện_tượng cố nửa hũ zalo cảm_nhận cgiac nhưu trơn cgiac bí hiêu chẳng rõ_rệt,2
422211549,căng mềm,2
422203776,đổ bụi phí không_sử_dụng,0
204900009,êm,2
422213308,nồng_độ dần trị thâm_trị,2
201600074,mát khô_thoáng nhẹ kết_hợp dưỡng cấp_nước lỗ chân_lông cải_thiện lỗ chân lông hài_lòng,2
422219399,lọ giới_thiệu,2
377400001,không_ thích bọt bọt nhờn nhờn thích không_bọt hợp_loại,2
422207736,hủ_thứ thấy_đắp cũng_ít lên_mụn hơn_dù mình_uống trà_sữa với_ăn hàng_số luôn_chứ xưa_cái mặt_tầy quá_rẻ quá_quá ưng_nói mua_thử đi_mọi người_rẻ mà_đắp,2
422207812,thời,0
225200015,dùng_siêu buổi_tối bôi_mụt sáng_ngủ dậy_sẽ thấy_môi mềm_hồng hào_lên mày_cũng chuẩn_hơn,2
422204259,chậm chấp_nhận,0
256700012,ưng_cơ bết dít tiếng đi không,2
422210980,rất_dịu không_kích cảnh ý_định đổi,2
422212100,không_lên,2
422212100,phàn_nàn,1
345800003,không_thực ưng_ý,0
422207865,không_như quảng_cáo nêu,0
201600074,vichy không_mà đẹp,2
204100003,không_bị bết vón,2
422220469,chân_ái,2
422210980,sạch không_phù_hợp căng,2
422204795,sửa rất_tốt,2
422206103,nóng dần đắp chủ_yếu căng,2
345800015,không_mua,0
100220010,cực thơm đen,2
225200015,thơm môi căng,2
200400003,rất_chắt tặng,2
422205819,sạch thơm,2
422204657,nhầm shop_đổi,2
422208345,bôi_lên nhẹ_mặt nếu_bôi bôi_lớp sẽ_bị vón_cục bôi_vùng trán_chỗ gần_chân tóc_cũng bị_vón cục_gợn trắng_vùng không_bị rát_gì nhưng_gió thổi_hoặc đi_ngoài đường_sẽ bị_và chảy_nước rất_khó,1
204100003,mãi đỉnh,2
422205160,đắp rất_mát tầm đắp mịn test nhãn_hiệu,2
422202253,thư,2
204100070,thích xìa hiệu_quả căng_bóng,2
422206537,hương mát lạnh,2
245500010,đánh rất_nhanh vòng tiếng buồn,1
308500004,tủ_lạnh mát lạnh khít chân lông_dưỡng cực,2
422208807,sạch sâu không_bết rẻ,2
249500028,tư_vấn,2
243300007,tệ vụn,0
204900004,đi bác_sĩ bác_sĩ kê đơn khỏe không_khô bí,2
204100018,dạo_này thức_học bài_áp lực_căng thẳng_mụn lại_hoành hành_bạn mình_giới thiệu_dùng thử_này xài_thì thấy_biết ơn_bạn lắm_trẻ hết_mụn cũng_không thâm_nên mình_với cả_bạn mình_đều vẫn_muốn này_lâu,2
422202569,điểm_chưa bao_dùng sữa_rửa mặt_thích này_mịn màng_hẳn,2
308500009,hương dễ_chịu mát giá_thành,2
204900159,xịn dầu_xài hiệu_quả ưng đỡ đỡ sạch căng đổ chữ má kết_hợp dưỡng tuyệt_vời đắn_đo rất_đáng,2
422201504,thích không_đắng sạch mềm,2
308500037,dưỡng củ,2
355500011,xài_lần rồi_trước mình_xài hũ_bùn thấy_nên mua_loại khác_mà xài_loại colagen_này thấy_khác quá_mùi thì_đặc khô_hơi thành_phần thì_colagen tận_cuối bảng_nên chắc_cũng không_tác,2
422218631,mùi_không dễ_chịu bằng_mẫu cũ_nhưng,2
365000015,không_xứng kém,0
422203146,không_như hình_ảnh,0
422202632,dưỡng mịn mềm_thích,2
100160022,tứ,2
358300001,dưỡng yêu_thích ngăm tông không_thấy kết_hợp thần_hãng tông không_dạng phát rất_hài_lòng tông,2
201600072,tặng nhật mẹ giảm_giá yêu mẹ bình không_hợp mẹ kêu mượt nhẹ,2
201600019,bớt vichy bàn cám_ơn,2
249500007,lương,2
422204777,trước_mua mình_đọc rất_nhiều cảnh_chê nhiều_hơn _với mình_thì đây_bổ rẻ_dành thường_và khô_lớp finish_hơi bóng_nhưng chừng_phút đã_tệp tông_nhẹ nhàng_và điều_mình thích_cuối ngày_xuống tông_rất nhẹ_không làm_mặt mình_bị mốc_xỉn đi_tẹo nào_vì có_dưỡng nên_các bạn_không cần_phải vì_dưỡng trước_sẽ gây_tình trạng_ghét _cả ngày_cũng không_thấy nặng_mặt bết_ngược rất_mềm,2
422208972,hợp đặc_sệt lỏng bữa,1
308500018,dễ_dàng rất_thoải mái,2
214000001,ngạc_nhiên,2
422212360,nắng_với texture_đẹp nhất_của nhà_sunplay mà_mình từng_dùng _hỗn hợp_dầu thì_dùng này_chân ái_luôn có_kiềm dầu_nhưng vừa_có độ_vừa phải_mỗi tội_mình thấy_ít shop_bán quá_có hasaki_thì cũng_quá ít_nhánh hasaki_nhập thêm_về và_này được_biết đến_nhiều hơn_trải nghiệm_của mình_với này_vừa không_vừa với_skinaqua tone_thì mình_dòng này_xài rất_hợp hỗn_hợp,2
422201504,rẻ sạch không_bị rát đỏ hết_mình tiếp,2
100220035,giá_thành thời hiệu_quả yêu đi ui,2
422208972,đã_dầu nhưng_thật sự_không sạch_bằng cetaphil_mới đầu_tưởng nó_hơn nhưng_dùng thấy_sạch hơn_cetaphil mấy_nhưng nó_không mướt_rửa lỡ_mua lớn_nhưng cũng_với hết_thử dùng_ucerin _đâu lành_tính chứ_dùng cetaphil_không giờ_dùng,2
422218746,siêu_mượt tối dậy môi mềm,2
308500018,dễ_dàng rất_thoải mái thư_giãn,2
204900128,không_được_xài,2
422204027,nhắn_hủy đơn,1
422211447,quảng_cáo,1
422220469,sợ châm chích chỗ mẩn đỏ không_chịu không_dám,0
204900004,rất_dịu,2
422206648,sạch mascara trôi siêu_lì thích giá_thành hợp_lí,2
365000012,áp tinh_hơi,2
422211878,yêu,2
422209719,gì_đáng chê_nhưng cũng_không,1
422206537,đây_mà mình_đã xài_vẫn không_muốn đổi_loại khác_mình dầu_mụn từ_dùng nó_mình rữa_không bị_dầu rất_rữa còn_độ _đi liễu_cũng,2
422210980,dịu nhẹ khả_năng sạch giá_cả,2
422211447,gói rất_cẩn thận khuyến_mãi quấn kỹ dễ_thương làm_việc rẻ,2
422206648,yên_tâm chuẩn đầy_đủ,2
224100019,không_thấm tệp í kiểu bệt_bệt không_mua,1
223600035,sạch_rất_tốt rát bù không_bị căng mềm đỡ anti,1
422211501,đóng_gói rất_cẩn thận dịu nhẹ thơm,2
422204906,tháng_dùng thì_mình mới_lên đây_viết mình_hỗn hợp_thiên dầu_và rất_lên mụn_và có_mụn ẩn_dùng nước_này giảm_dầu đi_rất nhiều_mặt không_bị mụn_cũng cải_thiện rõ_rệt trừ_những ngày_đèn đỏ_thì vẫn_lên mụn_bình thường_nói giá_mà biết_đến này_sớm,2
201600072,mình_dùng tán_vỗ cũng_không ăn_vào _mà nó_vón lại_và như_chết mùi_thì thơm_nhưng không_ưng,0
253900004,lúc_đầu mình_xài thấy_thưởng vô_phạt nhưng_đến nặn_mụn về_mới thấy_công dụng_của nó_lành tính_êm và_giúp vết_thương tích_khủng và_dưỡng cũng_khá,2
